Name,Salary
 - -                            ," €24,233,000 p/a  "
 - -                            ," €22,438,000 p/a  "
 - -                            ," €21,740,000 p/a  "
 - -                            ," €20,743,000 p/a  "
 - -                            ," €20,743,000 p/a  "
 - -                            ," €18,518,000 p/a  "
 - -                            ," €17,951,000 p/a  "
 - -                            ," €15,945,000 p/a  "
 - -                            ," €15,394,000 p/a  "
 - -                            ," €14,460,000 p/a  "
 - -                            ," €14,000,000 p/a  "
 - -                            ," €13,962,000 p/a  "
 - -                            ," €13,599,000 p/a  "
 - -                            ," €13,342,000 p/a  "
 - -                            ," €12,466,000 p/a  "
 - -                            ," €12,000,000 p/a  "
 - -                            ," €12,000,000 p/a  "
 - -                            ," €11,967,000 p/a  "
 - -                            ," €10,909,000 p/a  "
 - -                            ," €10,372,000 p/a  "
 - -                            ," €10,372,000 p/a  "
 - -                            ," €10,372,000 p/a  "
 - -                            ," €10,309,000 p/a  "
 - -                            ," €9,615,000 p/a   "
 - -                            ," €9,500,000 p/a   "
 - -                            ," €9,455,000 p/a   "
 - -                            ," €9,274,000 p/a   "
 - -                            ," €9,260,000 p/a   "
 - -                            ," €9,100,000 p/a   "
 - -                            ," €8,975,000 p/a   "
 - -                            ," €8,975,000 p/a   "
 - -                            ," €8,975,000 p/a   "
 - -                            ," €8,580,000 p/a   "
 - -                            ," €8,580,000 p/a   "
 - -                            ," €8,277,000 p/a   "
 - -                            ," €8,014,000 p/a   "
 - -                            ," €8,014,000 p/a   "
 - -                            ," €8,000,000 p/a   "
 - -                            ," €7,779,000 p/a   "
 - -                            ," €7,500,000 p/a   "
 - -                            ," €7,500,000 p/a   "
 - -                            ," €7,280,000 p/a   "
 - -                            ," €6,981,000 p/a   "
 - -                            ," €6,981,000 p/a   "
 - -                            ," €6,811,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,500,000 p/a   "
 - -                            ," €6,475,000 p/a   "
 - -                            ," €6,411,000 p/a   "
 - -                            ," €6,240,000 p/a   "
 - -                            ," €6,064,000 p/a   "
 - -                            ," €6,000,000 p/a   "
 - -                            ," €5,798,000 p/a   "
 - -                            ," €5,485,000 p/a   "
 - -                            ," €5,385,000 p/a   "
 - -                            ," €5,288,000 p/a   "
 - -                            ," €5,186,000 p/a   "
 - -                            ," €5,000,000 p/a   "
 - -                            ," €5,000,000 p/a   "
 - -                            ," €5,000,000 p/a   "
 - -                            ," €4,986,000 p/a   "
 - -                            ," €4,852,000 p/a   "
 - -                            ," €4,852,000 p/a   "
 - -                            ," €4,705,000 p/a   "
 - -                            ," €4,500,000 p/a   "
 - -                            ," €4,488,000 p/a   "
 - -                            ," €4,488,000 p/a   "
 - -                            ," €4,280,000 p/a   "
 - -                            ," €4,280,000 p/a   "
 - -                            ," €4,000,000 p/a   "
 - -                            ," €3,989,000 p/a   "
 - -                            ," €3,640,000 p/a   "
 - -                            ," €3,640,000 p/a   "
 - -                            ," €3,499,000 p/a   "
 - -                            ," €3,488,000 p/a   "
 - -                            ," €3,456,000 p/a   "
 - -                            ," €3,335,000 p/a   "
 - -                            ," €3,257,000 p/a   "
 - -                            ," €3,203,000 p/a   "
 - -                            ," €3,130,000 p/a   "
 - -                            ," €3,040,000 p/a   "
 - -                            ," €3,016,000 p/a   "
 - -                            ," €3,000,000 p/a   "
 - -                            ," €2,992,000 p/a   "
 - -                            ," €2,990,000 p/a   "
 - -                            ," €2,908,000 p/a   "
 - -                            ," €2,729,000 p/a   "
 - -                            ," €2,676,000 p/a   "
 - -                            ," €2,653,000 p/a   "
 - -                            ," €2,593,000 p/a   "
