Name,Salary
 - -                            ," €22,733,000 p/a  "
 - -                            ," €21,225,000 p/a  "
 - -                            ," €21,225,000 p/a  "
 - -                            ," €20,619,000 p/a  "
 - -                            ," €20,619,000 p/a  "
 - -                            ," €18,193,000 p/a  "
 - -                            ," €18,193,000 p/a  "
 - -                            ," €18,193,000 p/a  "
 - -                            ," €16,677,000 p/a  "
 - -                            ," €16,374,000 p/a  "
 - -                            ," €15,161,000 p/a  "
 - -                            ," €15,161,000 p/a  "
 - -                            ," €15,161,000 p/a  "
 - -                            ," €15,161,000 p/a  "
 - -                            ," €15,161,000 p/a  "
 - -                            ," €15,161,000 p/a  "
 - -                            ," €14,858,000 p/a  "
 - -                            ," €14,555,000 p/a  "
 - -                            ," €13,948,000 p/a  "
 - -                            ," €13,645,000 p/a  "
 - -                            ," €13,645,000 p/a  "
 - -                            ," €13,342,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,000,000 p/a  "
 - -                            ," €11,947,000 p/a  "
 - -                            ," €11,644,000 p/a  "
 - -                            ," €11,522,000 p/a  "
 - -                            ," €10,916,000 p/a  "
 - -                            ," €10,916,000 p/a  "
 - -                            ," €10,613,000 p/a  "
 - -                            ," €10,613,000 p/a  "
 - -                            ," €10,613,000 p/a  "
 - -                            ," €10,613,000 p/a  "
 - -                            ," €10,309,000 p/a  "
 - -                            ," €10,309,000 p/a  "
 - -                            ," €10,309,000 p/a  "
 - -                            ," €10,006,000 p/a  "
 - -                            ," €10,006,000 p/a  "
 - -                            ," €10,006,000 p/a  "
 - -                            ," €10,006,000 p/a  "
 - -                            ," €9,703,000 p/a   "
 - -                            ," €9,703,000 p/a   "
 - -                            ," €9,703,000 p/a   "
 - -                            ," €9,703,000 p/a   "
 - -                            ," €9,097,000 p/a   "
 - -                            ," €9,097,000 p/a   "
 - -                            ," €9,097,000 p/a   "
 - -                            ," €9,097,000 p/a   "
 - -                            ," €9,097,000 p/a   "
 - -                            ," €8,897,000 p/a   "
 - -                            ," €8,490,000 p/a   "
 - -                            ," €8,490,000 p/a   "
 - -                            ," €8,490,000 p/a   "
 - -                            ," €8,490,000 p/a   "
 - -                            ," €8,490,000 p/a   "
 - -                            ," €8,360,000 p/a   "
 - -                            ," €8,187,000 p/a   "
 - -                            ," €8,035,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,884,000 p/a   "
 - -                            ," €7,580,000 p/a   "
 - -                            ," €7,580,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,277,000 p/a   "
 - -                            ," €7,152,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,671,000 p/a   "
 - -                            ," €6,368,000 p/a   "
 - -                            ," €6,142,000 p/a   "
 - -                            ," €6,064,000 p/a   "
 - -                            ," €6,064,000 p/a   "
 - -                            ," €6,064,000 p/a   "
