Name,Salary
 - -                            ," €14,772,000 p/a  "
 - -                            ," €12,129,000 p/a  "
 - -                            ," €12,040,000 p/a  "
 - -                            ," €11,664,000 p/a  "
 - -                            ," €11,110,000 p/a  "
 - -                            ," €10,400,000 p/a  "
 - -                            ," €10,260,000 p/a  "
 - -                            ," €10,190,000 p/a  "
 - -                            ," €9,260,000 p/a   "
 - -                            ," €9,260,000 p/a   "
 - -                            ," €9,260,000 p/a   "
 - -                            ," €8,970,000 p/a   "
 - -                            ," €8,923,000 p/a   "
 - -                            ," €8,330,000 p/a   "
 - -                            ," €7,729,000 p/a   "
 - -                            ," €7,690,000 p/a   "
 - -                            ," €7,592,000 p/a   "
 - -                            ," €7,410,000 p/a   "
 - -                            ," €7,040,000 p/a   "
 - -                            ," €7,040,000 p/a   "
 - -                            ," €6,864,000 p/a   "
 - -                            ," €6,480,000 p/a   "
 - -                            ," €6,480,000 p/a   "
 - -                            ," €6,480,000 p/a   "
 - -                            ," €6,480,000 p/a   "
 - -                            ," €6,256,000 p/a   "
 - -                            ," €5,930,000 p/a   "
 - -                            ," €5,770,000 p/a   "
 - -                            ," €5,770,000 p/a   "
 - -                            ," €5,686,000 p/a   "
 - -                            ," €5,570,000 p/a   "
 - -                            ," €5,560,000 p/a   "
 - -                            ," €5,560,000 p/a   "
 - -                            ," €5,560,000 p/a   "
 - -                            ," €5,560,000 p/a   "
 - -                            ," €5,560,000 p/a   "
 - -                            ," €5,560,000 p/a   "
 - -                            ," €5,550,000 p/a   "
 - -                            ," €5,345,000 p/a   "
 - -                            ," €5,200,000 p/a   "
 - -                            ," €5,190,000 p/a   "
 - -                            ," €5,190,000 p/a   "
 - -                            ," €5,130,000 p/a   "
 - -                            ," €5,130,000 p/a   "
 - -                            ," €5,130,000 p/a   "
 - -                            ," €5,130,000 p/a   "
 - -                            ," €5,130,000 p/a   "
 - -                            ," €5,068,000 p/a   "
 - -                            ," €4,995,000 p/a   "
 - -                            ," €4,870,000 p/a   "
 - -                            ," €4,630,000 p/a   "
